1,047| Supiz,501,525,8243788,10559,0
2,0017 K55 - Bolívia,523,507,918874497,5319,0
3,0065,491,582,919073624,10160,0
4,NOBRE 033,480,505,7887410,8663,0
5,034 - [NE],493,505,919671987,10311,6
6,{0051} J,508,531,919655816,10469,0
7,Aldeia de Morceguinho,521,432,6245413,9317,5
8,0027| Guerraaaaa,567,455,7270627,10019,0
9,Nobre J.F.A.,497,447,919294149,9976,0
10,K5524RIP,500,532,5424301,10495,0
11,107,437,425,919619426,10495,0
12,114| Supiz,482,530,8243788,10495,6
13,Vitim 0005,551,584,919380830,10495,0
14,028 Nobre,493,483,7380225,8085,0
15,Kakashi Hatake 0042,494,540,919675492,9968,0
16,[0046] Nobre, Quico Baderneiro,472,467,5554668,9993,0
17,0031 [RIP] Marcos2Paty,496,534,919391898,10019,0
18,Alemão-058,496,565,919234453,10001,0
19,K45,513,459,919667514,9970,9
21,081,473,439,919248718,10495,0
22,Alemão-201-RZ,483,546,919234453,10001,0
23,K45 [026] Loading...,553,446,7331306,9756,4
24,000 - Nobre,495,548,919540085,10495,0
25,Colheita dos Gados 105,511,543,7420003,9202,0
26,B1-0040 | Carta na Manga,497,515,6075513,10495,0
27,Kakashi Hatake 0002,496,537,919675492,10160,0
28,G - 001,464,448,919104663,8119,0
29,Br 113 # Nobre StyleBrSz,491,514,7957583,9924,5
30,-108 Maurícia-,504,552,919655816,11130,0
31,019 # Leal,552,456,373141,10019,8
32,095| Supiz,485,543,8243788,10728,0
33,0098 | HA,461,459,919106855,9286,0
34,RAÇA FLA 132,467,500,8271328,6514,2
35,{0044} Nobre,494,535,919655816,10285,0
36,071| Supiz,497,538,8243788,10495,0
37,A3-0073 | Carta na Manga,561,506,6075513,7993,0
38,Colheita dos Gados 062,505,527,7420003,10083,0
39,0132 Bad or Bip ?,464,520,7448518,7203,0
40,016 LORD,508,441,919566124,10362,3
41,0062 | Odyssey,498,548,919597227,8406,0
42,|0021|Rag Na Rok,500,543,554916,10160,0
43,Nobre +0.1,508,538,918916774,10946,0
44,0112 Bad or Bip ?,491,557,7448518,10495,0
45,K54 Nobre 0003,489,537,919534607,10495,0
46,Nareba - 055,491,531,918631050,11130,0
47,0032 | HA,549,473,919106855,10069,7
48,098| Supiz,492,528,8243788,10495,0
49,093#GUERRA FRIA#,527,485,919521797,10160,0
50,[0031] Nobre, Quico Baderneiro,467,473,5554668,9993,9
51,106| Supiz,487,527,8243788,10495,0
52,Top,533,532,846256,8875,0
53,003 - Nobre,462,502,919540085,10495,2
54,Aldeia 0003,489,532,7248147,1382,0
55,Noblador de BB Bravo n Entre!,478,431,7736488,10469,0
56,0135 CAFU,484,449,919622278,10495,9
57,105| Supiz,490,525,8243788,10495,0
58,026 - URSS9250,450,527,919540085,9159,3
59,Nobre +0.4.1.2,484,533,918916774,10297,0
60,[0114] Krokuun,472,445,69441,10495,0
61,Nobre +0.4,493,535,918916774,10478,0
63,LeC | K44 055,490,428,919294149,9808,0
64,010,462,479,919566124,6525,9
65,008 K54,494,531,919200476,10495,0
66,143 São Pedro da Aldeia,432,484,919169484,10425,9
67,Alemão-224,482,539,919234453,9457,0
68,Nobre,489,507,918920176,8588,0
70,0083 | HA,463,444,919106855,9710,7
72,Nobre J.F.A.,547,460,919294149,9415,1
73,Kakashi Hatake 0036,414,509,919675492,10495,0
74,102 - ALEMÃO SAFADO,467,492,531505,7988,0
75,K54 Nobre 0006,481,522,919534607,10160,9
76,Nareba - 036,416,515,918631050,11130,0
77,Aldeia de bárbaros,452,500,0,905,0
78,0093 - Nobre ToxiC,468,465,919360118,9809,5
80,Nobre,505,508,918920176,5670,0
81,|0000 0034 Namastex|,476,462,919668977,10019,1
83,Nobre|017,539,504,477722,10636,9
85,083 - IH MANE NOBRE BW,469,497,8177047,10019,1
86,VASTAREL,413,512,919523983,9017,0
88,B1-0005 | Carta na Manga,509,510,6075513,11130,2
90,079 - ALEMÃO SAFADO,511,483,531505,10070,0
91,#K55 - 008#,511,515,919547052,10838,0
92,Nobre-0021-Jupter,473,507,919540085,5934,0
93,RAÇA FLA 091,481,533,8271328,10495,2
94,B1-0006 | Carta na Manga,512,514,6075513,11321,0
95,K45 [057] Loading...,548,453,7331306,9756,1
96,Nobre,506,510,918920176,5810,0
97,0117 Nobre | Dance Comigo *-*,515,513,1821171,4013,0
98,109#TOXIC#,560,482,919521797,9834,3
99,0122| Guerraaaaa,537,487,7270627,10019,0
100,[0067] Nobre, Quico Baderneiro,463,475,5554668,7890,0
101,0202| Guerraaaaa,540,480,7270627,10019,0
102,K44 [008] Loading...,476,481,7331306,9756,0
103,015 - Trident -,559,456,919535050,8884,7
104,033 # Leal,541,477,373141,10019,0
105,TRABUCO,511,527,919671046,2946,1
106,001,500,461,6222181,10495,0
107,RAÇA FLA 145,531,503,8271328,4533,0
108,K45,502,455,919495079,9902,0
109,002,491,453,6222181,10469,0
110,036,564,459,8128825,4199,0
111,136 - [NW],519,510,919671987,10311,4
112,dale,476,441,919577688,374,0
113,027,508,452,918856240,9742,0
114,ARAGÃO 113 6,448,476,919555073,3183,7
115,Nobre J.F.A.,499,456,919294149,9808,0
116,C 012 - Toti,569,474,7331306,9756,0
117,#034 BlastRade,509,527,919391252,9899,0
118,K54 Nobre 0007,459,506,919534607,10495,0
119,Nobre J.F.A.,492,453,919294149,9976,0
120,Birinaite 159,484,453,1413055,6580,0
121,K55 Nobre 0000,574,546,919534607,10252,0
122,Nobre,499,503,918920176,9844,0
123,111 - ALEMÃO SAFADO,434,474,531505,10019,0
124,0038 | HA,531,472,919106855,10069,0
125,[0082] Nobre, Quico Baderneiro,458,489,5554668,9908,6
126,0065 | HA,501,491,919106855,10069,0
127,B_16,426,502,281365,10971,0
128,K45,522,429,919495079,9902,0
129,030 - [NE],491,498,919671987,10311,0
130,0061| Guerraaaaa,516,449,7270627,10019,0
131,003 Toxicity,554,446,7523890,9809,1
132,Seek And Destroy,414,474,7037587,10252,0
133,011 - Trident -,560,465,919535050,9761,9
134,Nobre,594,506,1380557,9203,0
135,|0000 0023 Namastex|,488,495,919668977,10209,0
136,036 - [NE],527,536,919671987,10311,4
137,Aldeia de bárbaros,419,483,0,905,0
138,Leste,560,530,846256,7492,0
139,003,604,505,6222181,10495,0
140,BaBaYaGa Nobre,522,446,919667514,9902,0
141,0084 | Odyssey,484,543,919597227,8108,4
142,K45 [081] Loading...,530,479,7331306,5833,0
143,0055 - Nobre ToxiC,506,471,919360118,9809,0
144,0057 Bad or Bip ?,519,584,7448518,10495,0
145,0022 | HA,536,470,919106855,10069,0
146,K44 [003] Loading...,475,454,7331306,9756,4
147,0077 - Nobre ToxiC,509,496,919360118,9809,0
148,ricks100,518,425,8230558,7717,0
149,Seek And Destroy,417,477,7037587,10068,0
150,001 SEM MASSAGEM,525,487,6566724,10155,0
151,K44 [009] Loading...,498,490,7331306,9756,0
152,RAÇA FLA 032,563,509,8271328,10362,7
153,0024,597,477,919562683,7254,0
154,0002 | Odyssey,488,541,919597227,10495,1
155,[0111] Telogrus Rift,504,496,69441,10495,0
156,127| Supiz,444,548,8243788,10636,8
157,0068 | HA,506,491,919106855,10069,0
158,0046,512,567,919073624,9166,1
160,BaBaYaGa Nobre,523,472,919667514,9902,0
161,[021] Nobre, Toxic Squad!,541,443,1618709,9740,3
162,[005] MADE IN CHINA,503,586,919049896,8668,0
163,002 Explorador,499,599,6631824,10495,0
164,*NORTUMBRIA 013,546,508,919476182,10495,0
165,|0000 0002 West|,528,468,919668977,9563,0
166,[006] MADE IN ROÇA,504,589,919049896,8806,0
167,Nobre[A]Casa Mormont.,520,489,1679948,2670,0
168,Nobre, SEM MASSAGEM ! 067,487,453,919563536,10469,5
169,0111| Guerraaaaa,534,485,7270627,10019,0
170,102,448,450,919248718,9364,0
171,097 - Enggilmar o Fenomeno,500,596,919447151,10000,0
172,RAÇA FLA 062,541,493,8271328,10495,0
173,A2-0001 | Carta na Manga,539,497,6075513,12154,0
174,063,572,504,919585121,7831,0
175,RAÇA FLA 052,540,494,8271328,10495,0
176,Cavefish,547,498,919540085,10495,0
177,[004] Nobre, Toxic Squad!,506,474,1618709,9740,6
178,Colheita dos Gados 017,549,515,7420003,10160,0
179,002 SEM MASSAGEM,528,503,6566724,10160,0
180,004,498,460,6222181,10495,2
181,A2-0014 | Carta na Manga,537,504,6075513,11824,0
182,Moita 028,541,439,919569672,10469,9
183,A2-0018 | Carta na Manga,542,502,6075513,11550,0
184,070 K54 - RIP,477,503,7781056,10495,8
185,Nobre,529,509,918920176,9799,0
186,Aldeia da Morte [040],572,513,7850654,5432,0
187,[010] MADE IN CHINA,509,593,919049896,8373,0
188,056 SEM MASSAGEM,467,454,6566724,10160,0
189,ricks100,521,426,8230558,10452,3
190,003 SEM MASSAGEM,531,494,6566724,10019,0
191,Nobre J.F.A.,505,440,919294149,9976,4
192,Br 113 # Nobre StyleBrSz,528,488,7957583,9835,0
193,Aldeia de bárbaros,464,506,0,903,0
194,119 - Toti,525,495,919674367,7558,0
195,Nobre, Cajaal,446,457,919507328,10469,4
196,004 SEM MASSAGEM,531,487,6566724,10149,0
197,026| Supiz,530,596,8243788,10495,0
198,Nobre, SEM MASSAGEM ! 090,495,429,919563536,10469,0
199,0130| Guerraaaaa,538,493,7270627,10019,0
200,0110| Guerraaaaa,527,477,7270627,10019,5
201,17 | Marceneiros do Inferno,540,493,919590946,10495,0
202,Noblador de BB Bravo n Entre!,507,423,7736488,10469,0
203,114 - Enggilmar o Fenomeno,507,596,919447151,10000,0
204,095,447,473,919248718,6985,0
205,009,473,564,919666686,1004,7
206,Ashina Sun (5),503,597,7707372,10220,0
207,*NORTUMBRIA 015,541,513,919476182,10495,0
208,20 | Nabucodonosor,539,501,919590946,9353,0
209,0046 - Nobre ToxiC,528,494,919360118,8824,0
210,K45,523,449,919667514,9878,0
211,0020 Bad or Bip ?,508,593,7448518,10019,0
212,Aldeia de bárbaros,470,557,0,905,0
213,001 K55,544,521,919200476,10495,0
214,0045 Bad or Bip ?,486,562,7448518,10495,0
215,Br 113 # Nobre StyleBrSz,546,516,7957583,9835,0
216,119 - Enggilmar o Fenomeno,502,598,919447151,10000,0
217,{0054} Nobre,529,519,8193141,10273,0
218,26 | Marceneiros do Inferno,526,493,919590946,9436,0
219,Alcateia 05,436,522,5990777,2392,0
220,003 Explorador,557,587,6631824,10495,0
221,#043 BlastRade,507,527,919391252,9783,0
222,177 # Leal,531,492,373141,10019,0
223,Fenix S 000,542,576,919658611,12021,0
224,032 nobre,542,572,919519206,10146,0
225,[0025] Dz7,559,570,919528828,10728,0
226,K54 027,442,530,7859528,2763,0
227,077 K54 - RIP,457,517,7781056,10495,4
228,-030 Índia-,524,583,919655816,10083,0
229,004 Explorador,519,600,6631824,10495,0
230,Aldeia de bárbaros,463,555,0,1751,0
231,0068 | Odyssey,584,554,919597227,7858,0
232,0247| Guerraaaaa,466,493,7270627,10495,5
233,[054] MADE IN ROÇA,545,578,919049896,10259,0
234,Nobre J.F.A.,533,455,919294149,9808,0
235,166 - [W],507,540,919671987,10311,4
236,004 - Enggilmar o Fenomeno,544,571,919447151,10000,0
237,005 Explorador,531,589,6631824,10495,0
