1508,xnando,30,1,1232,1323
2531,ricardo31,810,1,9576,811
2851,DonQuixote,1137,1,493,1499
42749,avigdor,1148,1,1213,1328
47921,Odarnoc,21,96,786452,116
69441,Khadgar,287,138,1406902,33
71727,wrzocca,151,2,4089,1009
78115,NBL Allan,815,9,30882,547
79383,-HadeeS,1292,0,0,2030
87146,knips1000,1262,1,2207,1186
87870,lucastnk,187,1,266,1614
99118,César Willer S. Costa,0,1,240,1634
105514,hellhammer,851,8,18329,663
113569,pedromatos,0,0,0,2031
117337,Franciscom,0,1,836,1393
162884,nardo.vp,1129,6,32031,536
172338,VMOM,0,1,108,1792
173441,Slep,0,1,49,1849
181252,PEGORELLY,1257,3,18911,656
182548,carlos pinto,0,0,0,2032
214147,Hsaga,949,13,112463,327
222355,LariKblu,0,1,9400,815
225290,GEKO,0,0,0,2033
239645,marcelomar21,1321,17,98404,347
241929,Marechal-De-Campo,0,1,956,1379
281365,gabriel546,142,190,1918080,12
284305,paulo batman fernandes,1329,1,121,1777
285984,WILLIANDIEGO,0,0,0,2034
321940,Renegadux,354,14,57011,429
322413,RubysacX,810,17,39622,482
329666,Kadette,45,21,106842,337
330836,Pai de Todos Nos,152,0,0,2035
339159,dedeco99,302,82,630539,148
359095,Marcospai,852,7,16904,677
365034,lucasrj12,917,1,46,1861
372053,fabiop2,142,57,452031,188
373141,anjospy,65,213,2077913,7
375644,DanadenhO,180,8,24489,597
389031,- Barba Negra,286,81,765067,120
391015,digorox,815,1,10019,797
401480,Almirante Champigny,152,3,7415,873
413696,tlulicopip,0,1,794,1407
429206,Tapia,0,1,26,1879
431849,joneLukas,142,73,489286,182
436751,pratick,97,23,186299,280
440236,carianos,286,108,1009934,76
443543,GugaLukas,1291,13,57431,426
446407,olavionogueira,50,1,280,1604
455314,alexguerreiro,0,1,521,1484
458298,GALICIER,0,1,26,1880
471928,Rusti,670,1,120,1778
475539,TELOX,387,0,0,2036
477722,maiteco,46,80,687617,133
481127,christianbus,127,9,56997,430
487690,kingnives,1148,3,4264,992
494288,olivaster,46,140,1360582,38
521059,JAS46,1292,16,140899,302
531505,- Alemão Safado,286,137,1361631,37
533324,victordoido,21,121,1128404,60
554916,nataps,46,103,830840,107
576227,Edson de melo lima,1166,1,2659,1130
576350,Bromer 3,0,1,687,1438
603377,tp-hmartins,1252,9,35736,509
606771,Gurgunga,0,1,515,1488
618052,Luis Chiara,606,1,1582,1264
625501,black jav,0,0,0,2037
639435,Luiz de Cassia,0,0,0,2038
681429,portoamado,0,1,213,1668
687472,salles0103,97,45,318062,224
707989,gabrielvivanco,180,1,2860,1112
730804,gilberto afonso,1308,1,26,1881
731467,Arrais Peres,810,5,23252,572
734145,W.M.A,0,0,0,2039
739140,Rhus,0,1,888,1387
745517,provetti5,1084,16,73375,384
753194,PEPIXOW,0,1,223,1653
754579,iJokeer,0,1,26,1882
801208,Bia-Yang,0,0,0,2040
808910,yrski bra,0,7,23400,605
810720,Mataor,0,1,239,1635
814724,L.F.L.L,358,12,94473,354
819638,Jero 2,0,1,2373,1158
843623,kyrion,8,1,2985,1098
846256,TIO PERY,142,54,412015,196
847056,papoliao,0,1,26,1883
860712,Imperador Jadler,1207,1,289,1596
872102,ancaster,1210,7,10280,786
875767,M.F.P.,637,7,13283,724
897558,vmcampos,358,73,475756,185
937429,wmrwell,726,6,12205,748
967069,Plotzki,0,1,466,1510
974230,okrim,734,1,298,1592
1021572,Leco65,0,2,5118,951
1049662,Icof,330,1,114,1790
1074471,evertonburatti,1060,2,7796,861
1084222,fofox,127,19,63000,408
1136057,Souza100,0,2,2327,1165
1143322,*Pesadelo*,450,6,9561,813
1159590,hua4,0,1,26,1884
1163364,Marcos SL,450,5,7619,867
1176186,guguinhaf,0,1,26,1885
1194782,Alvocense,1134,1,1560,1262
1218856,Paladinao Frec,97,24,56654,431
1228558,Xantriaz,0,1,190,1698
1231948,caroca,21,90,708404,129
1248354,Mr. Fahl,0,0,0,2041
1253176,j.emerson,475,6,13867,714
1254038,money,821,11,24051,600
1257717,formiga5,1148,2,5109,952
1277975,mauricio v,734,1,1496,1279
1293347,enio estrela,0,2,6827,889
1294943,Danub,358,130,952766,85
1297876,luizramos,1104,1,274,1608
1315389,Semitom,0,1,145,1756
1327631,valclei,0,1,404,1535
1349815,cãodomato,0,1,1673,1246
1352700,julionardes,0,0,0,2042
1355462,vreis2607,1084,10,47457,453
1364541,pedroh12,1231,0,0,2043
1369934,pitangaclan,286,101,743281,124
1372733,ale gaspar,637,7,14526,707
1380557,Alfredlog,97,40,221074,261
1383047,monolasco,0,1,26,1886
1406890,chapeudecouro,0,4,8693,838
1412717,Zakajúnior,0,1,124,1772
1413055,Birináite,287,164,1440168,29
1470574,kiem885,354,1,859,1389
1474120,revoltaFJV,0,5,13941,713
1477021,Filmais,406,1,2548,1139
1478219,Bozo Palhassador,51,6,21278,629
